鄉鎮市區,交易標的,土地區段位置-建物區段門牌,土地移轉總面積-平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,屋齡,建物移轉總面積-平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價-元,單價-每平方公尺,車位類別,車位移轉總面積-平方公尺,車位總價-元,備註,地所狀態
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,13.86,商,,,10807,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,112.3,2,2,1,有,無,6980000,64013,坡道機械,17.32,900000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,13.86,商,,,10808,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,112.3,2,2,1,有,無,6980000,64013,坡道機械,17.32,900000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,19.06,住,,,10809,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,150.84,3,1,2,有,無,9350000,64046,坡道平面,26.71,1400000,聯名購買:鐘明佐 T123521741,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,14.99,商,,,10812,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,126.84,2,2,1,有,無,7930000,64083,坡道平面,24.16,1350000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,14.99,商,,,10902,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,126.84,2,2,1,有,無,7930000,64083,坡道平面,24.16,1350000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,14.99,商,,,10811,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,126.84,2,2,1,有,無,7980000,64083,坡道平面,24.16,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,24.64,住,,,10810,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,209.42,4,1,2,有,無,12600000,64103,坡道平面,53.42,2600000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段271~300地號,13.37,商,,,10902,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,149.67,3,2,2,有,無,9220000,64125,坡道平面,26.94,1350000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,19.06,住,,,10809,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,150.84,3,1,2,有,無,9260000,64126,坡道平面,26.71,1300000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段271~300地號,13.73,商,,,10901,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,152.76,3,2,2,有,無,9370000,64139,坡道平面,26.94,1300000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段271~300地號,13.73,商,,,10902,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,152.76,3,2,2,有,無,9420000,64139,坡道平面,26.94,1350000,,2(資料揭露)
